probe_id,times_selected,mean_importance,median_importance,mean_rank,best_rank,selection_frequency_pct,gene_symbol
223307_at,20,0.0,0.0,132.75,48,100.0,CDCA3
205394_at,20,0.0,0.0,183.2,114,100.0,CHEK1
204822_at,20,0.00019680634,0.0,183.75,58,100.0,TTK
205046_at,20,0.002014997,0.0,163.8,25,100.0,CENPE
224428_s_at,20,0.0,0.0,142.4,58,100.0,CDCA7
224753_at,20,0.027213473,0.012394249,72.75,4,100.0,CDCA5
237086_at,19,0.00048130026,0.0,145.78947368421052,40,95.0,FOXA1
217383_at,19,0.0,0.0,201.31578947368422,63,95.0,PGK1
212021_s_at,19,0.008000809,0.0,182.05263157894737,10,95.0,MKI67
212195_at,19,0.007267347,0.0,173.3684210526316,15,95.0,IL6ST
218755_at,19,0.0057195975,0.0,137.10526315789474,9,95.0,KIF20A
216092_s_at,19,0.0,0.0,212.0,94,95.0,SLC7A8
205730_s_at,19,0.00072790985,0.0,181.73684210526315,44,95.0,ABLIM3
202088_at,19,0.0005308295,0.0,148.78947368421052,34,95.0,SLC39A6
225687_at,19,0.011170755,0.0,139.52631578947367,13,95.0,SACK1D
209002_s_at,19,0.004310871,0.004903585,126.6842105263158,33,95.0,CALCOCO1
204092_s_at,19,0.21937576,0.19825898,21.36842105263158,1,95.0,AURKA
221520_s_at,19,0.0001534305,0.0,128.05263157894737,59,95.0,CDCA8
233520_s_at,19,0.0007831284,0.0,135.68421052631578,46,95.0,CMYA5
209747_at,19,0.00011452051,0.0,218.42105263157896,64,95.0,TGFB3
228718_at,19,0.0,0.0,188.8421052631579,79,95.0,ZNF44
229543_at,19,0.0030516605,0.0,182.3684210526316,20,95.0,
210085_s_at,19,0.011931551,0.0073734345,85.15789473684211,11,95.0,ANXA9
220054_at,19,0.037008338,0.033111755,24.105263157894736,8,95.0,IL23A
208103_s_at,19,0.000252482,0.0,198.42105263157896,52,95.0,ANP32E
212495_at,18,0.0003365558,0.0,221.61111111111111,49,90.0,KDM4B
208682_s_at,18,0.00028321453,0.0,197.33333333333334,53,90.0,MAGED2
227811_at,18,0.000683076,0.0,160.66666666666666,48,90.0,FGD3
211000_s_at,18,0.005022081,0.0,191.38888888888889,20,90.0,IL6ST
203362_s_at,18,0.0022592354,0.0,136.94444444444446,20,90.0,MAD2L1
227533_at,18,0.0006062849,0.0,182.16666666666666,43,90.0,RALGPS2
228273_at,18,0.005870716,0.0,183.66666666666666,5,90.0,PRR11
218663_at,18,0.0,0.0,156.16666666666666,71,90.0,NCAPG
209843_s_at,18,0.0016085678,0.0,186.38888888888889,45,90.0,SOX10
212419_at,18,0.0,0.0,228.27777777777777,141,90.0,ZCCHC24
209459_s_at,18,0.0014882162,0.0,187.38888888888889,33,90.0,ABAT
204318_s_at,18,0.0,0.0,213.77777777777777,147,90.0,GTSE1
