Model,CV_Accuracy_Mean,CV_Accuracy_SD,CV_MacroF1_Mean,CV_MacroF1_SD,CV_WeightedF1_Mean,CV_WeightedF1_SD,CV_ROC_AUC_OVR_Macro_Mean,CV_ROC_AUC_OVR_Macro_SD
XGBoost,0.9307692307692308,0.05102499677469846,0.9237038451744335,0.05867215372453927,0.9302062643239115,0.05102395348571855,0.9911309523809525,0.0110085258651354
RandomForest,0.9615384615384615,0.02432521277052598,0.9587929717341481,0.02729630298774795,0.9608520890873832,0.025023500315046184,0.9979861111111111,0.002156135374480571
SVM,0.9692307692307691,0.02878197989826107,0.9669422734128617,0.033710775869080487,0.9682538577561202,0.03025288215692124,0.9980555555555556,0.0038888888888888753
LogisticRegression,0.9538461538461538,0.04485347611419463,0.9514036943448708,0.0483555062856275,0.9525530879377033,0.046073442224583525,0.9978571428571428,0.0033428859719283146
