Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,3/80,0.0006776987077642231,0.006957706733046,0,0,19.363636363636363,141.29273193710048,CCNA2;UBE2C;PSMD3
Reactome_2022,Mitotic Anaphase R-HSA-68882,4/232,0.0015270330435687,0.0149312340557098,0,0,8.874943769680613,57.54893932283744,UBE2C;CDCA5;PSMD3;CENPN
Reactome_2022,Mitotic Metaphase And Anaphase R-HSA-2555396,4/233,0.001551297044749,0.0149312340557098,0,0,8.835740678535439,57.15543671204347,UBE2C;CDCA5;PSMD3;CENPN
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,9/1312,0.0016197638814945,0.0151177962272823,0,0,3.7895806058417225,24.349855036034096,CCNA2;UBE2C;ERBB2;PSMD3;MYBL2;DEK;SRSF5;ESR1;AURKA
Reactome_2022,Assembly Of Pre-Replicative Complex R-HSA-68867,3/110,0.0017022427928104,0.0154203170642828,0,0,13.913551401869158,88.71014078934452,UBE2C;PSMD3;CDC6
Reactome_2022,G1/S-Specific Transcription R-HSA-69205,2/29,0.0017667977889501,0.0155478205427612,0,0,36.00722673893406,228.23492237875303,CDC45;CDC6
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,9/1449,0.0031938898509656,0.0273255020582615,0,0,3.403860294117647,19.560336675279807,CCNA2;UBE2C;ERBB2;PSMD3;MYBL2;DEK;SRSF5;ESR1;AURKA
Reactome_2022,Generic Transcription Pathway R-HSA-212436,8/1190,0.0034486280140857,0.0287074980631999,0,0,3.6306502296350014,20.58498371712154,CCNA2;UBE2C;ERBB2;PSMD3;MYBL2;DEK;ESR1;AURKA
Reactome_2022,RND1 GTPase Cycle R-HSA-9696273,2/42,0.0036811038952836,0.0298363157828252,0,0,24.289024390243902,136.12887191337333,GRB7;KIF14
Reactome_2022,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,2/49,0.0049802262706846,0.0383477422842716,0,0,20.664244940321744,109.56761169296044,CCNA2;AURKA
Reactome_2022,Signaling By ERBB2 R-HSA-1227986,2/49,0.0049802262706846,0.0383477422842716,0,0,20.664244940321744,109.56761169296044,GRB7;ERBB2
Reactome_2022,FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,2/54,0.0060190990195071,0.0452166462928828,0,0,18.672607879924957,95.46963998767032,PSMD3;AURKA
